name,channel,note,type,osc,btnMode,ledOff,ledOn,modeChannel
trackControl8,0,55,PotMeter,/exec/4/17,single,,,63
deviceControl1,0,16,PotMeter,/exec/4/19,single,,,24
deviceControl2,0,17,PotMeter,/exec/4/20,single,,,25
deviceControl3,0,18,PotMeter,/exec/4/21,single,,,26
deviceControl4,0,19,PotMeter,/exec/4/22,single,,,27
deviceControl5,0,20,PotMeter,/exec/4/23,single,,,28
deviceControl6,0,21,PotMeter,/exec/4/24,single,,,29
deviceControl7,0,22,PotMeter,/exec/4/25,single,,,30
deviceControl8,0,23,PotMeter,/exec/4/26,single,,,31
pan,0,87,BtnLed,/exec/4/5x0,toggle,0,1,
sendA,0,88,BtnLed,/exec/4/5x1,toggle,0,1,
sendB,0,89,BtnLed,/exec/4/5x2,toggle,0,1,
sendC,0,90,BtnLed,/exec/4/5x3,toggle,0,1,
shift,0,98,Btn,/exec/4/5x4,moment,,,
tempoTab,0,99,Btn,/exec/4/5x5,moment,,,
nudgePlus,0,100,Btn,/exec/4/5x6,moment,,,
nudgeMin,0,101,Btn,/exec/4/5x7,moment,,,
play,0,91,Btn,/exec/4/6x0,moment,,,
stop,0,92,Btn,/exec/4/6x1,moment,,,
rec,0,93,Btn,/exec/4/6x2,moment,,,
bankSelectU,0,94,Btn,/exec/4/6x3,,,,
bankSelectD,0,95,Btn,/exec/4/6x4,,,,
bankSelectR,0,96,Btn,/exec/4/6x5,,,,
bankSelectL,0,97,Btn,/exec/4/6x6,,,,
crossfader,0,15,Fader,/exec/4/6x7,,,,
clipTrack,0,58,BtnLed,/exec/4/7x0,toggle,,,
deviceOnOff,0,59,BtnLed,/exec/4/7x1,toggle,,,
ledArrowL,0,60,BtnLed,/exec/4/7x2,toggle,,,
ledArrowR,0,61,BtnLed,/exec/4/7x3,toggle,,,
detailView,0,62,BtnLed,/exec/4/7x4,toggle,,,
recQuantization,0,63,BtnLed,/exec/4/7x5,toggle,,,
midiOverdub,0,64,BtnLed,/exec/4/7x6,toggle,,,
metronome,0,65,BtnLed,/exec/4/7x7,toggle,,,
cueLevel,0,47,Encoder,/exec/4/8x0,,,,
